emp_no,first_name,last_name,birth_date,from_date,to_date,dept_no,title
12386,Godehard,Litecky,1964-01-31,1993-10-19,9999-01-01,d005,Senior Engineer
12390,Kwangsub,Kilgour,1964-04-22,1997-07-09,9999-01-01,d007,Staff
12404,Manu,Kulisch,1964-11-16,1985-12-14,9999-01-01,d004,Senior Engineer
12405,Zhanqiu,Kambil,1964-04-06,1989-07-16,9999-01-01,d005,Engineer
12408,Rasiah,Sudkamp,1965-01-10,1995-04-18,9999-01-01,d005,Senior Engineer
12432,Fumino,Delgrange,1964-08-28,1991-07-03,9999-01-01,d004,Technique Leader
12446,Xiaoqiang,Keustermans,1964-01-05,1987-11-06,9999-01-01,d009,Staff
12449,Honesty,Iisaku,1964-04-20,1995-06-18,9999-01-01,d003,Staff
12461,Tesuro,Silva,1964-06-01,1998-08-15,9999-01-01,d005,Senior Engineer
12467,Zhiwei,Bennis,1964-06-18,1999-01-07,9999-01-01,d004,Technique Leader
12486,Joydip,Morrin,1964-09-08,1996-10-16,9999-01-01,d006,Senior Engineer
12511,Frederique,Lueh,1964-11-01,1993-02-01,9999-01-01,d004,Engineer
12535,Kazuhiko,Bergere,1964-11-04,1991-02-22,9999-01-01,d005,Technique Leader
12544,Kankanahalli,Hartvigsen,1964-10-13,1995-04-09,9999-01-01,d004,Senior Engineer
12546,Luisa,Shobatake,1964-03-10,1988-06-05,9999-01-01,d001,Staff
12548,Chenxi,Baak,1964-06-25,1990-06-28,9999-01-01,d005,Senior Engineer
12549,Krister,Onuegbe,1964-12-19,1998-09-15,9999-01-01,d003,Staff
12565,Theron,Mullainathan,1964-05-19,1989-06-16,9999-01-01,d007,Staff
12572,Sungwon,McConalogue,1964-05-03,1995-11-23,9999-01-01,d005,Engineer
12577,Takushi,Schrift,1964-05-09,2000-10-13,9999-01-01,d009,Engineer
12578,Tamiya,Perin,1964-01-22,1986-07-28,9999-01-01,d009,Staff
12605,Petter,Feldmann,1964-10-26,1990-02-19,9999-01-01,d007,Senior Staff
12643,Morrie,Schurmann,1965-01-30,1998-12-31,9999-01-01,d002,Staff
12647,Niclas,Sankaranarayanan,1964-04-07,1999-08-10,9999-01-01,d008,Staff
12711,Yechiam,Jiafu,1964-08-12,1986-11-21,9999-01-01,d008,Senior Staff
12724,Parke,Lammel,1964-07-05,1999-02-17,9999-01-01,d007,Staff
12757,Karlis,Cooke,1964-10-31,1995-06-24,9999-01-01,d009,Senior Engineer
12762,Jaroslava,Koblitz,1964-04-27,1992-09-25,9999-01-01,d005,Technique Leader
12771,Erez,Luks,1964-02-06,1988-06-02,9999-01-01,d009,Staff
12797,Takushi,Turnbull,1964-04-27,1991-11-05,9999-01-01,d005,Senior Engineer
12874,Patricio,Ramamoorthy,1964-03-05,1995-02-12,9999-01-01,d003,Senior Staff
12884,Paddy,Zyda,1964-09-28,1988-11-09,9999-01-01,d005,Engineer
12920,Tetsushi,Legleitner,1964-05-06,1998-11-23,9999-01-01,d005,Senior Engineer
12942,Maia,Dalphin,1964-11-09,1995-08-17,9999-01-01,d006,Senior Engineer
12954,Dinkar,Walston,1964-11-10,1986-05-08,9999-01-01,d007,Staff
12990,Kristina,Benaini,1964-06-08,1985-07-12,9999-01-01,d006,Senior Engineer
12996,Khalil,Madeira,1964-12-07,1992-08-26,9999-01-01,d007,Staff
13018,Toshimi,Moehrke,1964-03-14,1987-05-10,9999-01-01,d007,Staff
13036,Idoia,Heystek,1964-07-14,1998-04-23,9999-01-01,d007,Staff
13063,Troy,Shokrollahi,1964-11-17,1994-01-02,9999-01-01,d001,Staff
13089,Fumiko,Viele,1964-02-20,1995-12-29,9999-01-01,d005,Engineer
13094,Sanjay,Servieres,1964-12-19,1998-11-19,9999-01-01,d008,Engineer
13100,Guenter,Roison,1964-04-19,1991-01-22,9999-01-01,d004,Engineer
13114,Nikolaus,Bressoud,1964-06-28,1994-10-13,9999-01-01,d003,Staff
13115,Jianhua,Comellas,1964-05-06,1995-08-21,9999-01-01,d007,Staff
13123,Hatem,Miake,1964-07-26,1997-12-19,9999-01-01,d005,Engineer
13129,Martijn,Sigstam,1964-04-15,1997-11-17,9999-01-01,d001,Senior Staff
13162,Shaw,Goodrum,1964-12-26,1989-05-19,9999-01-01,d007,Senior Staff
13176,Pranas,Thiria,1964-11-28,1990-09-07,9999-01-01,d007,Staff
13195,Toshiki,Baak,1964-06-29,1986-03-02,9999-01-01,d004,Senior Engineer
13219,Wojceich,Constantine,1964-11-10,1988-06-22,9999-01-01,d004,Technique Leader
13231,Pohua,Sessa,1964-05-05,1993-10-23,9999-01-01,d005,Senior Engineer
13242,Kazuhiko,Ecklund,1964-10-17,1994-12-06,9999-01-01,d004,Senior Engineer
13244,Khosrow,Yoshizawa,1964-10-27,1996-09-02,9999-01-01,d004,Staff
13251,Otilia,Lakshmanan,1964-06-28,1992-05-24,9999-01-01,d006,Senior Engineer
13254,Chuanti,Thibadeau,1964-11-08,1998-01-20,9999-01-01,d004,Senior Engineer
13268,Munehiro,Yurov,1964-04-29,1992-11-04,9999-01-01,d007,Senior Staff
13274,Valery,Anguita,1964-06-11,1998-04-24,9999-01-01,d004,Assistant Engineer
13314,Vasilis,Schlegelmilch,1964-01-23,1993-04-14,9999-01-01,d003,Staff
13317,Iara,Magliocco,1964-04-29,1999-10-02,9999-01-01,d005,Engineer
13319,Manton,Schwaller,1964-02-15,1998-01-13,9999-01-01,d005,Engineer
13326,Mario,Comte,1964-02-14,1996-06-22,9999-01-01,d003,Staff
13328,Khedija,Vilarrasa,1964-10-25,1997-10-27,9999-01-01,d009,Staff
13330,Sarita,Litvinov,1964-08-31,1993-08-19,9999-01-01,d004,Senior Engineer
13335,Val,Akaboshi,1964-05-05,1997-06-10,9999-01-01,d007,Staff
13348,Leaf,Wiegley,1964-04-25,1989-08-06,9999-01-01,d001,Senior Staff
13360,Krassimir,Michaels,1964-09-30,1999-02-23,9999-01-01,d005,Assistant Engineer
13370,Nidapan,Macedo,1964-08-22,1990-06-23,9999-01-01,d009,Staff
13382,Makato,Domenig,1964-10-31,1994-12-25,9999-01-01,d005,Engineer
13397,Nimmagadda,Wilfing,1964-05-13,1987-06-25,9999-01-01,d003,Staff
13419,Bouchung,Leivant,1964-11-06,1996-05-25,9999-01-01,d007,Staff
13483,Arco,Ananiadou,1964-04-20,1990-01-09,9999-01-01,d004,Senior Engineer
13484,Kristina,Setlzner,1964-09-05,1993-01-01,9999-01-01,d003,Staff
13494,Domenico,Baca,1964-04-07,1985-10-07,9999-01-01,d004,Senior Engineer
13499,Kazuhiko,Sidou,1965-01-16,1991-09-01,9999-01-01,d004,Technique Leader
13518,Girolamo,Gill,1964-08-10,1993-11-17,9999-01-01,d003,Staff
13528,Fumitaka,Liesche,1964-02-21,2002-02-03,9999-01-01,d001,Staff
13533,Lorien,Crouzet,1964-01-29,1993-04-21,9999-01-01,d003,Staff
13534,Shushma,Coullard,1964-04-12,1996-12-31,9999-01-01,d005,Engineer
13555,Lijia,Matteis,1964-08-20,1988-11-07,9999-01-01,d007,Staff
13558,Raimond,Molberg,1964-10-13,1987-06-10,9999-01-01,d008,Senior Staff
13572,Honglan,Beutelspacher,1964-03-13,1986-09-15,9999-01-01,d001,Senior Staff
13599,Gor,Versino,1964-09-24,1992-11-12,9999-01-01,d007,Staff
13644,Shmuel,Spataro,1964-02-25,2001-04-25,9999-01-01,d008,Senior Engineer
13656,Oldrich,Ferretti,1964-08-19,1995-07-17,9999-01-01,d007,Senior Staff
13669,Hidde,Peng,1964-11-19,1998-11-05,9999-01-01,d004,Assistant Engineer
13686,Parke,Sadowsky,1964-04-18,1990-09-16,9999-01-01,d002,Staff
13720,Rildo,Braccini,1964-07-13,1989-03-01,9999-01-01,d007,Staff
13728,Insup,Swab,1964-05-23,1986-01-03,9999-01-01,d004,Senior Engineer
13729,Shahab,Farrel,1964-07-30,1988-10-12,9999-01-01,d005,Senior Engineer
13765,Raimond,Mitzlaff,1964-07-27,1990-07-18,9999-01-01,d003,Staff
13793,Mokhtar,Rosar,1964-09-26,1990-03-04,9999-01-01,d004,Senior Engineer
13802,Saniya,Benzmuller,1964-01-08,1998-11-18,9999-01-01,d002,Staff
13806,Abdelwaheb,Nitsch,1964-02-09,1990-02-05,9999-01-01,d005,Senior Engineer
13816,Miquel,Maksimenko,1964-03-09,1992-09-17,9999-01-01,d005,Senior Engineer
13823,Ebru,Montemayor,1964-07-07,1993-07-06,9999-01-01,d005,Technique Leader
13844,Jianhua,Vural,1964-05-24,1995-06-28,9999-01-01,d001,Staff
13860,Wojceich,Papastamatiou,1964-09-18,1988-07-27,9999-01-01,d001,Senior Staff
13866,Macha,Fargier,1964-02-28,1999-12-25,9999-01-01,d007,Staff
13876,Fatemeh,Swan,1964-09-05,1995-05-03,9999-01-01,d003,Senior Staff
13878,Shigeaki,Eiron,1964-03-19,1990-09-11,9999-01-01,d007,Staff
13879,Valery,Ambroszkiewicz,1964-11-16,1989-10-05,9999-01-01,d004,Senior Engineer
13908,Nechama,Koprowski,1964-12-21,1987-11-26,9999-01-01,d004,Senior Engineer
13956,Arvind,Kusakabe,1964-02-04,1996-06-16,9999-01-01,d004,Engineer
13961,Munir,Hempstead,1964-06-22,1988-10-01,9999-01-01,d004,Senior Engineer
13968,Selwyn,Unni,1964-09-09,1993-09-07,9999-01-01,d005,Technique Leader
14025,Stevo,Takanami,1964-08-03,2001-08-07,9999-01-01,d007,Staff
14043,Manohar,Dulin,1964-06-25,1993-01-21,9999-01-01,d006,Technique Leader
14053,Kazuhiro,Haraldson,1964-01-10,1996-05-13,9999-01-01,d005,Senior Staff
14062,Khalid,Luon,1964-12-16,2000-11-13,9999-01-01,d004,Senior Engineer
14075,Denny,Tchuente,1965-01-03,1991-05-30,9999-01-01,d005,Engineer
14081,Alain,Fontet,1964-05-04,1998-09-04,9999-01-01,d007,Senior Staff
14095,Tonia,Underwood,1964-08-04,1988-12-03,9999-01-01,d007,Staff
14104,Sudhanshu,Demian,1965-01-03,1994-07-23,9999-01-01,d003,Staff
14127,Magdalena,Cannard,1965-01-10,1994-04-22,9999-01-01,d004,Senior Engineer
14158,Caolyn,Setiz,1965-01-22,1990-02-06,9999-01-01,d007,Staff
14177,Gino,Stille,1964-08-01,1996-03-16,9999-01-01,d001,Staff
14185,Garnik,Swiler,1964-11-06,1988-08-01,9999-01-01,d001,Senior Staff
14189,Nahla,Tsukuda,1964-08-07,1997-09-05,9999-01-01,d001,Staff
14190,Leon,Tomescu,1964-07-23,1989-03-13,9999-01-01,d004,Senior Engineer
14193,Lucien,Kornyak,1964-02-23,1997-03-26,9999-01-01,d005,Assistant Engineer
14194,Vidya,Schiettecatte,1964-03-06,1998-12-27,9999-01-01,d005,Assistant Engineer
14201,Chirstian,Carrere,1964-07-03,1995-07-01,9999-01-01,d005,Senior Engineer
14231,Serenella,Madeira,1964-09-15,1999-03-12,9999-01-01,d004,Engineer
14239,Martijn,Wallrath,1964-09-24,1989-10-16,9999-01-01,d001,Staff
14255,Shigeo,Tramer,1964-05-07,1994-02-28,9999-01-01,d002,Staff
14271,Rosita,Bernatsky,1964-05-17,1989-02-17,9999-01-01,d009,Senior Staff
14278,Kazuhiro,Schapiro,1964-10-25,1991-11-29,9999-01-01,d007,Staff
14286,Chenxi,Rodite,1964-10-20,1999-04-02,9999-01-01,d005,Engineer
14334,Pradeep,Waleschkowski,1964-12-15,1988-07-06,9999-01-01,d004,Senior Engineer
14343,Pranav,Rotem,1964-04-22,1994-06-29,9999-01-01,d007,Staff
14352,Sudhanshu,Braccini,1964-07-03,1996-10-06,9999-01-01,d004,Senior Engineer
14356,Remko,Zeidenstein,1964-04-15,1985-06-04,9999-01-01,d004,Senior Engineer
14381,Danco,Weedon,1964-06-11,1998-06-21,9999-01-01,d007,Staff
14396,Charmane,Gubsky,1964-12-17,1989-10-26,9999-01-01,d007,Staff
14451,Hirochika,Tagansky,1964-05-20,1995-07-19,9999-01-01,d004,Senior Engineer
14459,Aruna,Boreale,1964-09-21,1997-06-04,9999-01-01,d005,Technique Leader
14468,Unal,Ertl,1964-12-03,1992-09-02,9999-01-01,d007,Staff
14476,Sastry,Marrevee,1965-01-19,1999-09-25,9999-01-01,d004,Engineer
14477,Frederique,Coors,1964-07-21,1994-09-30,9999-01-01,d002,Staff
14479,Thodoros,Suessmith,1964-08-22,1991-11-27,9999-01-01,d001,Staff
14503,Bernd,Beerel,1964-06-04,1989-09-07,9999-01-01,d004,Senior Engineer
14504,Lidong,Sidje,1964-02-27,1998-01-12,9999-01-01,d004,Staff
14517,Kwangho,Hatcliff,1964-02-28,1997-04-07,9999-01-01,d005,Senior Engineer
14519,Xiong,Usery,1964-10-23,1996-09-14,9999-01-01,d007,Staff
14523,Leif,Busillo,1964-06-13,1994-07-21,9999-01-01,d007,Staff
14541,Suebskul,Terwilliger,1964-12-26,1996-04-25,9999-01-01,d007,Senior Staff
14584,Oldrich,Undy,1964-06-11,1999-01-18,9999-01-01,d004,Engineer
14592,Paddy,Keohane,1964-03-31,1993-10-26,9999-01-01,d004,Senior Engineer
14598,Brigham,Dusink,1964-04-21,1991-07-14,9999-01-01,d005,Senior Engineer
14618,Cedric,Brlek,1964-09-04,1989-12-26,9999-01-01,d007,Staff
14671,Elliott,Perri,1964-02-23,1987-08-05,9999-01-01,d004,Senior Engineer
14672,Parto,Pietracaprina,1964-07-01,1995-05-21,9999-01-01,d005,Staff
14694,Nigel,Suessmith,1964-04-23,1993-06-27,9999-01-01,d004,Senior Engineer
14698,Kirk,Kambil,1964-03-13,1992-07-02,9999-01-01,d002,Staff
14702,Shrikanth,Keustermans,1964-12-18,1998-05-04,9999-01-01,d006,Engineer
14731,Hyuckchul,Roccetti,1964-02-27,1997-10-05,9999-01-01,d009,Staff
14754,Leon,Garnham,1964-05-27,1998-05-20,9999-01-01,d005,Engineer
14757,Kerhong,Eiter,1964-01-26,1992-06-22,9999-01-01,d003,Staff
14769,Paraskevi,Demeyer,1964-01-28,1996-08-15,9999-01-01,d006,Senior Engineer
14779,Xianlong,Benaini,1964-01-12,1992-05-02,9999-01-01,d005,Senior Engineer
14783,Gennadi,Fasbender,1964-07-26,1987-08-26,9999-01-01,d007,Senior Staff
14792,Aiichiro,Michaeli,1964-11-23,1996-04-13,9999-01-01,d004,Technique Leader
14795,Dung,Merkl,1964-06-07,1995-11-25,9999-01-01,d009,Technique Leader
14800,Mabry,Camurati,1964-08-29,1992-09-14,9999-01-01,d004,Engineer
14813,Naftali,Alpin,1964-08-16,1985-10-21,9999-01-01,d007,Staff
14847,Matk,Perng,1964-08-16,1995-09-07,9999-01-01,d007,Senior Staff
14870,Weicheng,Stranks,1964-11-21,1992-12-26,9999-01-01,d005,Senior Engineer
14893,Jacqueline,Bael,1964-04-18,1988-05-23,9999-01-01,d005,Senior Engineer
